simplified,traditional_candidates,retained_traditional_candidates,excluded_traditional_candidates,candidate_count,retained_candidate_count,cc_cedict_pair_evidence,source_chars_with_cedict_evidence,source_chars_with_unihan,source_chars_with_chise,quality_gate,unihan_traditional_variants,has_chise_ids,already_in_project,example_pairs
挂,掛 挂,掛,挂,2,1,91,1,2,2,review,挂 掛,yes,no,倒掛->倒挂
链,鏈 鍊,鏈,鍊,2,1,72,1,2,2,review,鏈,yes,no,人鏈->人链
弦,弦 絃,弦,絃,2,1,61,1,2,2,review,,yes,no,三弦->三弦
钻,鑽 鉆,鑽,鉆,2,1,54,1,2,2,review,鑽,yes,no,冰鑽->冰钻
抵,抵 牴,抵,牴,2,1,45,1,2,2,review,,yes,no,備抵->备抵
挨,挨 捱,挨,捱,2,1,45,1,2,2,review,,yes,no,挨個->挨个
蜡,蠟 蜡,蠟,蜡,2,1,44,1,2,2,review,蜡 蠟,yes,no,嚼蠟->嚼蜡
凌,凌 淩,凌,淩,2,1,41,1,2,2,review,,yes,no,冰凌->冰凌
呆,呆 待,呆,待,2,1,32,1,2,2,review,,yes,no,呆住->呆住
皂,皁 皂,皂,皁,2,1,23,1,2,2,review,,yes,no,皂石->皂石
穗,穗 繐,穗,繐,2,1,23,1,2,2,review,,yes,no,三穗->三穗
斤,斤 觔,斤,觔,2,1,21,1,2,2,review,,yes,no,公斤->公斤
荐,薦 荐,薦,荐,2,1,21,1,2,2,review,荐 薦,yes,no,力薦->力荐
坯,坯 坏,坯,坏,2,1,14,1,2,2,review,,yes,no,土坯->土坯
苔,苔 薹,苔,薹,2,1,14,1,2,2,review,,yes,no,海苔->海苔
钥,鑰 鈅,鑰,鈅,2,1,14,1,2,2,review,鑰,yes,no,公鑰->公钥
胄,胄 冑,胄,冑,2,1,12,1,2,2,review,,yes,no,世胄->世胄
锄,鋤 耡,鋤,耡,2,1,10,1,2,2,review,鋤,yes,no,誅鋤->诛锄
亘,亙 亘,亙,亘,2,1,7,1,2,2,review,,yes,no,亙古->亘古
蚝,蠔 蚝,蠔,蚝,2,1,5,1,2,2,review,,yes,no,生蠔->生蚝
吣,吣 唚,唚,吣,2,1,3,1,2,2,review,唚,yes,no,混唚->混吣
檗,檗 蘗,檗,蘗,2,1,2,1,2,2,review,,yes,no,黃檗->黄檗
绱,鞝 緔,緔,鞝,2,1,2,1,2,2,review,緔 鞝,yes,no,緔鞋->绱鞋
镢,钁 鐝,鐝,钁,2,1,2,1,2,2,review,鐝,yes,no,鐝頭->镢头
埙,壎 塤,塤,壎,2,1,1,1,2,2,review,塤,yes,no,塤->埙
滟,灩 灧,灩,灧,2,1,1,1,2,2,review,灧,yes,no,灩->滟
筱,筱 篠,筱,篠,2,1,1,1,2,2,review,,yes,no,筱->筱
耇,耇 耈,耇,耈,2,1,1,1,2,2,review,,yes,no,耇->耇
钫,鈁 鍅,鈁,鍅,2,1,1,1,2,2,review,鈁,yes,no,鈁->钫
锫,錇 鉳,錇,鉳,2,1,1,1,2,2,review,錇,yes,no,錇->锫
镎,鎿 錼,鎿,錼,2,1,1,1,2,2,review,鎿,yes,no,鎿->镎
㐹,㑶 㐹,,㑶 㐹,2,0,0,0,2,2,review,㑶,yes,no,
